ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2018-10-11T00:00:00Z Rel,"","",212.0321124394735,272.2296239535013,662.826171875,54.29050827026367,216.16732835769653,2501.7099609375,27.900262713432312,250.08561070760095,"","","",148.91310993830365,158.06600952148438,"","",178.02833731969196,133.21016518274945,"",578.354948043823,43.83148143688839,329.72894255320233,"",606.510625521342,1561.3226318359375,27.48956871032715,151.7119075457255,"",50.674728870391846,81.0416615406672,405.19988346099854,377.9594173431398,458.5700737635295,118.39886474609375,75.10632081826527,152.34918212890625,88.56307764848071,502.1954224904378,157.12267223993936,"",666.694948514303,349.29450480143214,660.3099517822266
2018-10-12T00:00:00Z Rel,"","",213.04092343648267,262.94002103805536,690.718017578125,54.29050827026367,204.9489517211915,2446.5009765625,25.67785253127416,259.95611333847046,"","","",147.39768234888717,158.87840270996094,"","",168.704687277476,130.94823114077255,"",568.1534099578859,42.273715158303574,323.27775287628185,"",610.1391407648721,1586,27.48956871032715,155.84657700856536,"",47.99269616603848,85.9561220407486,400.11811923980713,379.3590710957846,452.4511022567751,144.42404174804688,74.47231090068817,202.54327392578125,86.35643013318382,479.5554161071778,157.1857571601868,"",659.9154574076338,335.740073521932,681.9578444163005
2018-10-13T00:00:00Z Rel,"","",206.2705712318421,195.5836944580079,577.1760864257812,54.29050827026367,172.534974972407,1962.435791015625,19.01005337635676,249.32265583674112,"","","",114.80190372467042,157.81338500976562,"","",147.65261046091717,119.20412961641946,"",555.13214747111,39.48485583066941,291.5741888682048,"",516.7784570058184,1384.477294921875,27.48956871032715,157.64688078562423,"",33.48016627629598,84.41263135274254,297.83515405654913,367.58917395273846,429.95987065633125,187.22450256347656,62.09803167978923,191.25645446777344,80.36326491832735,472.60079320271814,131.58887298901874,"",622.63881111145,309.34942070643103,668.7739559809369
2018-10-14T00:00:00Z Rel,"","",206.60240825017294,196.30802345275882,572.706787109375,54.29050827026367,173.9325130780538,1926.3848876953125,21.306404093901318,231.08641433715806,"","","",114.3526758352916,157.63987731933594,"","",149.55112775166828,117.29623516400652,"",552.6586414972941,39.61593395471572,299.6081285476683,"",492.57892036438,1392.240478515625,27.48956871032715,165.99837954839077,"",36.99174507459004,78.1483042637507,285.70506159464514,367.60883935292566,420.1079556147257,187.0276336669922,62.218067685763,172.03282165527344,81.49528658390048,490.99482504526765,130.3647350470225,"",645.4280611673989,307.6107120513916,644.4656537373861
2018-10-15T00:00:00Z Rel,"","",212.42286777496344,273.90916744867974,704.7461547851562,54.29050827026367,211.3419561386108,2525.341064453125,29.518954575061798,250.30964628855386,"","","",149.0129059155782,158.8766632080078,"","",168.28857294718426,133.7182329495748,"",572.075750350952,42.86638287703198,338.74458217620827,"",595.1073986689252,1575.375244140625,27.48956871032715,161.8721941312154,"",52.313481370608,85.28190926710766,396.9455982844033,378.06695906321215,452.85612487792986,215.0138397216797,75.48620057106021,172.52586364746094,85.6451915502548,515.8177458445232,157.10279941558832,"",686.39265759786,348.2549654642741,630.6338965098063
2018-10-16T00:00:00Z Rel,"","",213.10224533081055,278.2834064165751,757.0613403320312,54.29050827026367,212.9814214706421,2678.08544921875,24.90108517805735,252.22033468882245,"","","",148.45905264218644,157.94393920898438,"","",167.5753564834595,136.38121151924136,"",571.8073317209879,43.49938227732975,343.33528041839605,"",617.1479215621946,1616.482666015625,27.48956871032715,150.86274011929825,"",48.999176184336356,85.71931819121043,399.2444051106771,379.5622412363689,451.89034303029376,189.4676971435547,72.37183042367299,147.41693115234375,88.40357549985251,514.241683324178,159.96989250183103,"",685.6269865036012,343.8800490697225,663.7171354293824
2018-10-17T00:00:00Z Rel,"","",217.245573202769,284.10839430491126,764.2350463867188,54.29050827026367,212.94465072949728,2812.11328125,25.35477979977926,249.42735560735062,"","","",146.57536347707108,156.65765380859375,"","",168.313384215037,135.31333382924396,"",567.0450782775875,41.12923026084901,339.7121493021648,"",647.2589337031046,1621.4666748046875,27.48956871032715,145.41386318206787,"",47.35263554255169,95.22043204307562,424.10847632090224,377.61481793721504,454.7330439885458,306.7893371582031,77.19460018475851,235.57443237304688,87.82299097379048,513.2882388432821,161.28524780273435,"",669.6796391805013,334.04362392425537,678.2972749074302
2018-10-18T00:00:00Z Rel,"","",211.90147082010907,285.4812316894532,682.8301391601562,54.29050827026367,197.0264158248902,2599.635498046875,25.427394568920143,251.00857988993337,"","","",146.84688615798945,157.98919677734375,"","",165.24238181114188,133.8211108843485,"",576.0516490936278,41.01170792182286,337.4723030726115,"",638.121353149414,1570.1683349609375,27.48956871032715,138.74505980809533,"",47.53592127561568,93.29344109694163,416.29797601699835,384.75366369883227,450.57704067230213,268.83905029296875,73.83089661598207,185.93496704101562,87.77878006299338,510.4853528340657,156.80680775642395,"",662.822581291199,329.21445020039874,659.408668200175
2018-10-19T00:00:00Z Rel,"","",211.04278389612824,264.52728128433233,729.2075805664062,54.29050827026367,189.07670092582703,2535.6982421875,25.31189962228139,256.12868038813275,"","","",142.65753316879272,158.00038146972656,"","",159.13676389058432,133.05396429697677,"",436.8314692179363,46.934221963087715,335.3063462575277,"",634.5715592702232,1562.0802001953125,27.48956871032715,136.27811797459927,"",46.85934992631275,84.70658830801642,414.3868562380473,382.2254870732627,454.12044143676763,327.6728820800781,73.49574430783589,227.7139129638672,89.88332732518514,507.1026150385539,158.83346581459043,"",639.63614877065,321.35864003499347,666.9774436950682
2018-10-20T00:00:00Z Rel,"","",204.469870408376,195.51691818237305,483.419189453125,54.29050827026367,161.6041825612386,1819.3907470703125,19.604543765385948,249.5418723424276,"","","",112.32051968574527,156.84474182128906,"","",139.75600488980615,117.07789127031965,"",155.12163360913596,29.55634518464407,274.82268667221064,"",527.3963232040406,1427.14794921875,27.48956871032715,148.76106023788452,"",32.37994996706645,77.4654088815053,318.41861263910926,367.33879597981763,422.08358478546154,282.548583984375,60.821220000584916,201.74908447265625,84.713099360466,454.83915487925213,134.492471297582,"",590.1700693766276,289.5208091735839,680.6027371088663
2018-10-21T00:00:00Z Rel,"","",202.33726072311404,200.41580645243323,471.23944091796875,54.29050827026367,160.18363372484845,1985.1085205078125,18.843075215816494,243.64049577713016,"","","",112.19974191983543,157.7939910888672,"","",144.99195472399393,115.7441229820251,"",245.89419666926077,37.387086729208626,276.99160893758136,"",503.5710268020631,1348.8565673828125,27.48956871032715,154.15580336252845,"",34.70621043443679,74.3899145523707,305.00635496775294,366.7566531499228,436.920389811198,283.8843078613281,60.46654836336771,203.18276977539062,83.45261482397713,466.8127660751345,132.37498593330378,"",611.4414717356365,304.36930863062537,658.9073378245037
2018-10-22T00:00:00Z Rel,"","",208.0743446350098,276.75135628382367,719.9044189453125,54.29050827026367,197.8943552176158,2505.65478515625,25.910218576590204,244.04590360323581,"","","",142.3230974674225,157.3792724609375,"","",166.64368343353271,130.65842564900714,"",390.2116435368855,46.135311683019005,339.37743473052996,"",617.8064591089885,1589.0552978515625,27.48956871032715,154.05106457074487,"",52.1007088025411,87.86661275227866,407.263056119283,381.4318583806356,476.5655221939087,333.6285400390625,72.62662148475644,163.71035766601562,89.71655774116516,508.90135192871094,156.64843988418573,"",659.8386039733884,337.72902329762775,636.2531572977703
2018-10-23T00:00:00Z Rel,"","",211.64307085673016,270.3530025482177,665.1128540039062,54.29050827026367,206.29570118586216,2505.784912109375,25.414639075597123,261.57149632771814,"","","",144.54473670323688,156.78378295898438,"","",164.38126683235168,130.60054945945734,"",515.3559707005819,48.1271103223165,342.3128976821899,"",623.7092717488606,1584.8431396484375,27.48956871032715,162.7912731170655,"",48.440327008565276,80.9549663464228,409.5930105845133,385.2398195266724,471.738608678182,320.5721740722656,81.09234869480133,142.99485778808594,91.58877313137052,512.5390783945717,158.54393013318375,"",677.1931975682577,348.27430121103924,619.5862627029419
2018-10-24T00:00:00Z Rel,"","",208.8358171780903,278.1432951291403,691.4298095703125,54.29050827026367,214.56210549672443,2574.50439453125,24.396925628185276,269.5147563616435,"","","",145.0018129348755,156.8085479736328,"","",166.09495019912723,135.34523804982504,"",534.9238929748534,41.6815980474154,316.77525806427013,"",644.9669469197589,1555.109130859375,27.48956871032715,161.00336980819708,"",49.00710485378903,81.45991377035776,404.15095472335815,387.1460310618083,476.6955124537151,298.7719421386719,79.61213123798368,153.88677978515625,91.34905409812927,447.9935086568197,157.7125750382742,"",668.2841084798174,340.0945774714151,622.3630164464317
2018-10-25T00:00:00Z Rel,"","",211.824954032898,270.56838703155523,695.673828125,54.29050827026367,196.93154946962989,2500.947998046875,27.135942896207172,263.3588140805562,"","","",141.8344611326854,156.56362915039062,"","",166.63091580073038,134.3617033958435,"",571.1806678771975,41.96670019626618,323.4829502105714,"",648.9253514607748,1571.228515625,27.48956871032715,169.83484872182208,"",51.19668883085247,83.50192948182423,416.33947436014824,384.8475131988526,482.1647555033366,316.2333679199219,79.78464134534198,150.79176330566406,90.98147575060527,427.79946041107183,159.46232946713766,"",683.5574757258097,353.9586850802103,649.8336585362749
2018-10-26T00:00:00Z Rel,"","",208.41163619359338,263.5228131612141,803.0255737304688,54.29050827026367,201.23591788609826,2592.708984375,25.43129401405652,268.11102692286175,"","","",139.5007561842601,157.97439575195312,"","",165.60930665334064,134.2493614355723,"",568.4064445495605,41.03029080231986,316.03581285476685,"",644.0365823109944,1571.4873046875,27.48956871032715,155.02564994494116,"",47.52041776974994,88.19425360361738,426.35190788904805,384.2335424423218,464.325953801473,374.44097900390625,77.3156996568044,212.3678741455078,85.98471347490946,437.2605921427409,161.82095861434937,"",659.342503229777,336.51627413431817,690.3109102249149
2018-10-27T00:00:00Z Rel,"","",203.6597032546997,195.44754107793165,456.7191162109375,54.29050827026367,156.59859029452005,1861.921142578125,17.74678094188372,214.155820051829,"","","",108.98674480120339,156.2760009765625,"","",148.72916523615518,114.48835587501524,"",554.7211405436196,38.52618990341823,283.94936164220167,"",524.2711658477784,1384.805908203125,27.48956871032715,165.99420674641925,"",34.12024559577305,75.28186468283336,327.2498963673911,367.01763216654473,412.0468403498333,312.4198303222656,69.45714195569354,166.14447021484375,80.25508467356367,449.3989493052165,132.22552657127383,"",625.3743896484376,304.4116816520691,683.4094333648684
2018-10-28T00:00:00Z Rel,"","",202.04689057668045,194.01561514536544,473.8800048828125,54.29050827026367,156.31341425577799,1845.5726318359375,18.1916716992855,235.01335827509544,"","","",107.0289171536764,157.1518096923828,"","",151.15765651067102,111.92968336741129,"",556.9557882944744,39.356639007727324,287.63675181070965,"",519.5583957036336,1318.3687744140625,26.256306668122612,184.12587722142544,"",35.463997582594565,71.96270362536112,333.3368698755899,367.16285737355537,417.97100162506115,293.7539367675781,74.79636009534198,125.33602905273438,79.48073565959932,452.48375447591144,131.05241624514264,"",665.9391063054403,320.54437319437676,656.9179474512739
