ts,Boiler B1 Power,Boiler B2 Power,Boiler B3 Power,Gasifier Steam Power,Cogen Steam Power,Cogen HW Power,AFS HW Power,Cogen Economizer Stage 1,Cogen Economizer Stage 2,Gasifier Economizer Stage 1,Gasifier Economizer Stage 2
2020-08-25T00:00:00-07:00 Los_Angeles,0MW,4.297932955052495MW,0.33353472946987806MW,0.09393870545319966MW,0.546069760950297MW,0.12324912628443496MW,"","","","",""
2020-08-26T00:00:00-07:00 Los_Angeles,0MW,4.085642423789808MW,0MW,0.16340262689045357MW,0.54454769792572MW,0.1243405290132526MW,"","","","",""
2020-08-27T00:00:00-07:00 Los_Angeles,0MW,3.575487338500441MW,0MW,0.19618131846975295MW,0.5368740903190686MW,0.12134647628714981MW,"","","","",""
2020-08-28T00:00:00-07:00 Los_Angeles,0MW,3.5990139472539773MW,0MW,0.1510911150207674MW,0.5455854682699903MW,0.11464219343848528MW,"","","","",""
2020-08-29T00:00:00-07:00 Los_Angeles,0MW,4.3782963853467365MW,0MW,0.10801817373017976MW,0.5384213219023866MW,0.11053459377338486MW,"","","","",""
2020-08-30T00:00:00-07:00 Los_Angeles,0MW,4.900210720008172MW,0MW,0.20829207227715724MW,0.549144425893362MW,0.1155052166019946MW,"","","","",""
2020-08-31T00:00:00-07:00 Los_Angeles,0MW,4.718252405041347MW,0MW,0.2971555582439437MW,0.5819971323888682MW,0.1212925069287626MW,"","","","",""
2020-09-01T00:00:00-07:00 Los_Angeles,0MW,3.6446505303349768MW,0MW,0.22187508280435897MW,0.5534792016747604MW,0.11733669287059457MW,"","","","",""
2020-09-02T00:00:00-07:00 Los_Angeles,0MW,3.389341491823671MW,0MW,0.19964919515204163MW,0.5361696755576771MW,0.11486880892577268MW,"","","","",""
2020-09-03T00:00:00-07:00 Los_Angeles,0MW,3.4795590707218196MW,0MW,0.18259080172297318MW,0.5347186374840255MW,0.11492386123691513MW,"","","","",""
2020-09-04T00:00:00-07:00 Los_Angeles,0MW,2.858860008606205MW,0MW,0.09445104260262777MW,0.5459181763575829MW,0.1113014133051102MW,"","","","",""
2020-09-05T00:00:00-07:00 Los_Angeles,0MW,3.130373889210599MW,0MW,0.06728354753243532MW,0.5227557533789268MW,0.10691229759461109MW,"","","","",""
2020-09-06T00:00:00-07:00 Los_Angeles,0MW,3.068284797472534MW,0.1888055568558371MW,0.04688797183946548MW,0.51657095336234MW,0.10824181589177219MW,"","","","",""
2020-09-07T00:00:00-07:00 Los_Angeles,0MW,2.981094938784285MW,0MW,0.04638810188286394MW,0.5066877057390744MW,0.11130055556229004MW,"","","","",""
2020-09-08T00:00:00-07:00 Los_Angeles,0MW,2.951623911446443MW,0.15929398333843522MW,0.047589101358694125MW,0.5028302519934847MW,0.10837571822037853MW,"","","","",""
2020-09-09T00:00:00-07:00 Los_Angeles,0MW,2.9010440288001194MW,0.12038657591867914MW,0.05618777057473414MW,0.48805668982062506MW,0.11345413732730474MW,"","","","",""
2020-09-10T00:00:00-07:00 Los_Angeles,0MW,2.5154062919511837MW,0MW,0.0476781251709326MW,0.4408580289123348MW,0.10313238273374734MW,"","","","",""
2020-09-11T00:00:00-07:00 Los_Angeles,0MW,2.489932914356943MW,0MW,0.04611107881383321MW,0.4857583676744171MW,0.10918187043720134MW,"","","","",""
2020-09-12T00:00:00-07:00 Los_Angeles,0MW,4.214667889820757MW,0MW,0.03783572846682983MW,0.5316692948428114MW,0.11017471963936394MW,"","","","",""
2020-09-13T00:00:00-07:00 Los_Angeles,0MW,5.642524382695557MW,0MW,0.0376123294445117MW,0.5595114456655471MW,0.10838492988246595MW,"","","","",""
2020-09-14T00:00:00-07:00 Los_Angeles,0MW,5.813783680570347MW,0MW,0.014043863358286517MW,0.5928634641569592MW,0.12821179282196146MW,"","","","",""
2020-09-15T00:00:00-07:00 Los_Angeles,0MW,4.619763973987212MW,0MW,0.03381635869178961MW,0.5427040458759226MW,0.11346116444716847MW,"","","","",""
2020-09-16T00:00:00-07:00 Los_Angeles,0MW,3.976931775808334MW,0.04166203805969821MW,0.03098817353341642MW,0.5670761825417007MW,0.11097987184361381MW,"","","","",""
2020-09-17T00:00:00-07:00 Los_Angeles,0MW,3.8069468323248272MW,0.3496331058333938MW,0.030816571480223764MW,0.5693933291947153MW,0.11469982227508878MW,"","","","",""
2020-09-18T00:00:00-07:00 Los_Angeles,0MW,4.100343805953033MW,0.26251967759716704MW,0.029958953105960976MW,0.5828523153306311MW,0.11998711550608275MW,"","","","",""
2020-09-19T00:00:00-07:00 Los_Angeles,0MW,4.29584958921428MW,0.00416087962962963MW,0.041416942903392547MW,0.5539749315616141MW,0.10872601141842701MW,"","","","",""
2020-09-20T00:00:00-07:00 Los_Angeles,0MW,4.308505870937197MW,0MW,0.03822398712215579MW,0.5549174365616313MW,0.1100025351193768MW,"","","","",""
2020-09-21T00:00:00-07:00 Los_Angeles,0MW,4.96568988661523MW,0MW,0.02999671903429164MW,0.5645133123565861MW,0.11903894362100227MW,"","","","",""
2020-09-22T00:00:00-07:00 Los_Angeles,0MW,5.184386687521581MW,0.15345833688767418MW,0.06233713550001674MW,0.6545367563525519MW,0.09406673074852469MW,"","","","",""
