ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2018-10-10T00:00:00Z Rel,"","",213.76363341013592kW,266.6939063072204kW,684.2012939453125kW,54.29050827026367kW,208.5770322481791kW,2498.151611328125kW,27.29951945940653kW,258.1360716819763kW,"","","",149.51201502482098kW,157.82070922851562kW,"","",177.74744145075476kW,135.10837833086657kW,"",567.2337964375815kW,42.4492443005244kW,311.56186866760254kW,"",601.5404408772787kW,1573.7642822265625kW,27.48956871032715kW,148.1892686684926kW,"",47.51768710215887kW,84.92117313543955kW,402.144754568736kW,371.59215227762854kW,441.0252389907836kW,162.46739196777344kW,72.9107451836268kW,148.99923706054688kW,88.55199507872264kW,449.9280446370442kW,158.12892349561062kW,"",667.5012973149616kW,351.1022203763327kW,655.2844670613608kW
2018-10-11T00:00:00Z Rel,"","",212.0321124394735kW,272.2296239535013kW,662.826171875kW,54.29050827026367kW,216.16732835769653kW,2501.7099609375kW,27.900262713432312kW,250.08561070760095kW,"","","",148.91310993830365kW,158.06600952148438kW,"","",178.02833731969196kW,133.21016518274945kW,"",578.354948043823kW,43.83148143688839kW,329.72894255320233kW,"",606.510625521342kW,1561.3226318359375kW,27.48956871032715kW,151.7119075457255kW,"",50.674728870391846kW,81.0416615406672kW,405.19988346099854kW,377.9594173431398kW,458.5700737635295kW,118.39886474609375kW,75.10632081826527kW,152.34918212890625kW,88.56307764848071kW,502.1954224904378kW,157.12267223993936kW,"",666.694948514303kW,349.29450480143214kW,660.3099517822266kW
2018-10-12T00:00:00Z Rel,"","",213.04092343648267kW,262.94002103805536kW,690.718017578125kW,54.29050827026367kW,204.9489517211915kW,2446.5009765625kW,25.67785253127416kW,259.95611333847046kW,"","","",147.39768234888717kW,158.87840270996094kW,"","",168.704687277476kW,130.94823114077255kW,"",568.1534099578859kW,42.273715158303574kW,323.27775287628185kW,"",610.1391407648721kW,1586kW,27.48956871032715kW,155.84657700856536kW,"",47.99269616603848kW,85.9561220407486kW,400.11811923980713kW,379.3590710957846kW,452.4511022567751kW,144.42404174804688kW,74.47231090068817kW,202.54327392578125kW,86.35643013318382kW,479.5554161071778kW,157.1857571601868kW,"",659.9154574076338kW,335.740073521932kW,681.9578444163005kW
2018-10-13T00:00:00Z Rel,"","",206.2705712318421kW,195.5836944580079kW,577.1760864257812kW,54.29050827026367kW,172.534974972407kW,1962.435791015625kW,19.01005337635676kW,249.32265583674112kW,"","","",114.80190372467042kW,157.81338500976562kW,"","",147.65261046091717kW,119.20412961641946kW,"",555.13214747111kW,39.48485583066941kW,291.5741888682048kW,"",516.7784570058184kW,1384.477294921875kW,27.48956871032715kW,157.64688078562423kW,"",33.48016627629598kW,84.41263135274254kW,297.83515405654913kW,367.58917395273846kW,429.95987065633125kW,187.22450256347656kW,62.09803167978923kW,191.25645446777344kW,80.36326491832735kW,472.60079320271814kW,131.58887298901874kW,"",622.63881111145kW,309.34942070643103kW,668.7739559809369kW
2018-10-14T00:00:00Z Rel,"","",206.60240825017294kW,196.30802345275882kW,572.706787109375kW,54.29050827026367kW,173.9325130780538kW,1926.3848876953125kW,21.306404093901318kW,231.08641433715806kW,"","","",114.3526758352916kW,157.63987731933594kW,"","",149.55112775166828kW,117.29623516400652kW,"",552.6586414972941kW,39.61593395471572kW,299.6081285476683kW,"",492.57892036438kW,1392.240478515625kW,27.48956871032715kW,165.99837954839077kW,"",36.99174507459004kW,78.1483042637507kW,285.70506159464514kW,367.60883935292566kW,420.1079556147257kW,187.0276336669922kW,62.218067685763kW,172.03282165527344kW,81.49528658390048kW,490.99482504526765kW,130.3647350470225kW,"",645.4280611673989kW,307.6107120513916kW,644.4656537373861kW
2018-10-15T00:00:00Z Rel,"","",212.42286777496344kW,273.90916744867974kW,704.7461547851562kW,54.29050827026367kW,211.3419561386108kW,2525.341064453125kW,29.518954575061798kW,250.30964628855386kW,"","","",149.0129059155782kW,158.8766632080078kW,"","",168.28857294718426kW,133.7182329495748kW,"",572.075750350952kW,42.86638287703198kW,338.74458217620827kW,"",595.1073986689252kW,1575.375244140625kW,27.48956871032715kW,161.8721941312154kW,"",52.313481370608kW,85.28190926710766kW,396.9455982844033kW,378.06695906321215kW,452.85612487792986kW,215.0138397216797kW,75.48620057106021kW,172.52586364746094kW,85.6451915502548kW,515.8177458445232kW,157.10279941558832kW,"",686.39265759786kW,348.2549654642741kW,630.6338965098063kW
2018-10-16T00:00:00Z Rel,"","",213.10224533081055kW,278.2834064165751kW,757.0613403320312kW,54.29050827026367kW,212.9814214706421kW,2678.08544921875kW,24.90108517805735kW,252.22033468882245kW,"","","",148.45905264218644kW,157.94393920898438kW,"","",167.5753564834595kW,136.38121151924136kW,"",571.8073317209879kW,43.49938227732975kW,343.33528041839605kW,"",617.1479215621946kW,1616.482666015625kW,27.48956871032715kW,150.86274011929825kW,"",48.999176184336356kW,85.71931819121043kW,399.2444051106771kW,379.5622412363689kW,451.89034303029376kW,189.4676971435547kW,72.37183042367299kW,147.41693115234375kW,88.40357549985251kW,514.241683324178kW,159.96989250183103kW,"",685.6269865036012kW,343.8800490697225kW,663.7171354293824kW
2018-10-17T00:00:00Z Rel,"","",217.245573202769kW,284.10839430491126kW,764.2350463867188kW,54.29050827026367kW,212.94465072949728kW,2812.11328125kW,25.35477979977926kW,249.42735560735062kW,"","","",146.57536347707108kW,156.65765380859375kW,"","",168.313384215037kW,135.31333382924396kW,"",567.0450782775875kW,41.12923026084901kW,339.7121493021648kW,"",647.2589337031046kW,1621.4666748046875kW,27.48956871032715kW,145.41386318206787kW,"",47.35263554255169kW,95.22043204307562kW,424.10847632090224kW,377.61481793721504kW,454.7330439885458kW,306.7893371582031kW,77.19460018475851kW,235.57443237304688kW,87.82299097379048kW,513.2882388432821kW,161.28524780273435kW,"",669.6796391805013kW,334.04362392425537kW,678.2972749074302kW
2018-10-18T00:00:00Z Rel,"","",211.90147082010907kW,285.4812316894532kW,682.8301391601562kW,54.29050827026367kW,197.0264158248902kW,2599.635498046875kW,25.427394568920143kW,251.00857988993337kW,"","","",146.84688615798945kW,157.98919677734375kW,"","",165.24238181114188kW,133.8211108843485kW,"",576.0516490936278kW,41.01170792182286kW,337.4723030726115kW,"",638.121353149414kW,1570.1683349609375kW,27.48956871032715kW,138.74505980809533kW,"",47.53592127561568kW,93.29344109694163kW,416.29797601699835kW,384.75366369883227kW,450.57704067230213kW,268.83905029296875kW,73.83089661598207kW,185.93496704101562kW,87.77878006299338kW,510.4853528340657kW,156.80680775642395kW,"",662.822581291199kW,329.21445020039874kW,659.408668200175kW
2018-10-19T00:00:00Z Rel,"","",211.04278389612824kW,264.52728128433233kW,729.2075805664062kW,54.29050827026367kW,189.07670092582703kW,2535.6982421875kW,25.31189962228139kW,256.12868038813275kW,"","","",142.65753316879272kW,158.00038146972656kW,"","",159.13676389058432kW,133.05396429697677kW,"",436.8314692179363kW,46.934221963087715kW,335.3063462575277kW,"",634.5715592702232kW,1562.0802001953125kW,27.48956871032715kW,136.27811797459927kW,"",46.85934992631275kW,84.70658830801642kW,414.3868562380473kW,382.2254870732627kW,454.12044143676763kW,327.6728820800781kW,73.49574430783589kW,227.7139129638672kW,89.88332732518514kW,507.1026150385539kW,158.83346581459043kW,"",639.63614877065kW,321.35864003499347kW,666.9774436950682kW
