ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2020-11-08T00:00:00Z Rel,"",599.603759765625kW,286.0704736709594kW,163.22809775670373kW,430.64459228515625kW,30.760480880737305kW,167.39712150891626kW,2066.85791015625kW,57.64255497852961kW,390.6249980926515kW,"","",92.45904541015625kW,106.74449499448143kW,85.22208404541016kW,"","",160.92421483993536kW,97.49297761917114kW,"",424.91992664337147kW,52.4467320839564kW,395.0371386210124kW,"",436.20860036214185kW,1700.5477294921875kW,41.18591976165773kW,178.3852359453837kW,270.12022097905475kW,41.902307550112404kW,38.7054936091105kW,236.18673674265546kW,299.70832029978436kW,429.3324295679727kW,104.52493286132812kW,75.368436495463kW,136.48605346679688kW,72.37018179893494kW,435.68698596954334kW,114.79118887583414kW,92.65721893310547kW,519.8200626373292kW,330.3955936431885kW,295.2616596221922kW
2020-11-09T00:00:00Z Rel,"",647.30908203125kW,302.4015072186787kW,208.98636086781812kW,463.31402587890625kW,30.760480880737305kW,211.66865619023636kW,2138.454345703125kW,47.23752148946126kW,370.85277334849025kW,"","",92.45904541015625kW,118.97173460324608kW,86.30064392089844kW,"","",178.5556230545044kW,107.57320825258891kW,"",441.91546694437636kW,55.605250994364425kW,418.253760655721kW,"",527.459073384603kW,1847.3785400390625kW,47.014919161796584kW,193.84841664632154kW,282.6235539118448kW,43.470295190811164kW,41.40233526627222kW,301.56423441569007kW,316.44418652852374kW,465.4946810404461kW,110.65765380859375kW,68.24529222647352kW,136.48605346679688kW,101.1610455910365kW,437.0305302937823kW,130.56718873977658kW,109.94217681884766kW,551.8265008926393kW,404.4114507039387kW,273.6105497678121kW
2020-11-10T00:00:00Z Rel,"",599.603759765625kW,308.2206411361694kW,207.8440225919087kW,430.64459228515625kW,30.760480880737305kW,179.31476259231567kW,2121.51123046875kW,22.14009602864583kW,332.4179782867431kW,"","",92.45904541015625kW,118.52912211418153kW,85.42201232910156kW,"","",173.85801092783615kW,108.69314813613897kW,"",418.3420397440592kW,53.8698445558548kW,398.04622268676763kW,"",519.7290678024292kW,1700.5477294921875kW,36.804308732350684kW,185.3080503145853kW,274.43383836746216kW,40.75256812572478kW,43.43536152442298kW,296.0864679018656kW,312.8380750020345kW,461.169872601827kW,107.56537628173828kW,64.70991114775339kW,136.48605346679688kW,100.53234974543254kW,400.29360342025757kW,115.45241538683574kW,110.703125kW,566.6884638468425kW,407.83863862355565kW,302.36865854263317kW
2020-11-11T00:00:00Z Rel,"",599.603759765625kW,304.9584946632386kW,161.8242754936219kW,430.64459228515625kW,30.760480880737305kW,94.06363375981651kW,2080.33935546875kW,17.89328217506409kW,343.52652327219636kW,"","",92.45904541015625kW,110.16652727127075kW,83.82539367675781kW,"","",156.49748055140174kW,100.59946990013121kW,"",394.63938268025726kW,42.83360548814139kW,375.6006043752035kW,"",462.08923530578636kW,1700.5477294921875kW,25.309127032756795kW,187.10213836034134kW,269.8042956988016kW,38.40708744525909kW,29.240202764670048kW,212.53924655914307kW,304.279714902242kW,448.55423641204834kW,106.58444213867188kW,39.60487075646717kW,136.48605346679688kW,81.79446816444396kW,401.4893236160279kW,109.22081629435225kW,88.99413299560547kW,567.047131538391kW,408.3709987004599kW,244.65872192382804kW
2020-11-12T00:00:00Z Rel,"",599.603759765625kW,314.65062904357904kW,208.09723885854083kW,430.64459228515625kW,30.760480880737305kW,179.33551716804504kW,2131.829833984375kW,23.943864564100895kW,353.48873583475745kW,"","",92.45904541015625kW,121.04766058921814kW,85.41460418701172kW,"","",172.9055474599203kW,105.58278179168701kW,"",424.05441093444836kW,53.0544831752777kW,414.81250286102306kW,"",518.0685466130573kW,1700.5477294921875kW,33.1736568212509kW,197.69175577163696kW,287.62521425882977kW,43.87762435277304kW,40.53294459978739kW,297.8270433743796kW,311.54641946156823kW,454.8572750091552kW,113.40084075927734kW,65.01862263679503kW,136.48605346679688kW,98.46602646509804kW,422.98119703928626kW,119.16274793942765kW,114.10747528076172kW,588.4264116287234kW,424.029348373413kW,320.9379110336304kW
2020-11-13T00:00:00Z Rel,"",599.603759765625kW,313.90123971303314kW,213.44459835688278kW,430.64459228515625kW,30.760480880737305kW,177.4751119613647kW,2149.95068359375kW,28.594702700773883kW,349.61605930328375kW,"","",92.45904541015625kW,122.74460474650066kW,82.85648345947266kW,"","",170.21784003575638kW,102.72451090812683kW,"",431.6919285456339kW,51.98150134086608kW,406.3179044723512kW,"",514.272082646688kW,1700.5477294921875kW,36.191089769204446kW,181.5675544738769kW,304.12261168162024kW,41.4383632739385kW,43.244414607683815kW,295.3592586517335kW,308.4539130528767kW,445.6843665440877kW,109.95648956298828kW,68.91493693987529kW,136.48605346679688kW,92.79955832163496kW,446.34104983011883kW,115.34661261240643kW,109.8215103149414kW,564.09103902181kW,409.5688870747883kW,308.09257475535077kW
2020-11-14T00:00:00Z Rel,"",599.603759765625kW,301.6467798550924kW,202.94513479868567kW,430.64459228515625kW,30.760480880737305kW,126.94505381584166kW,2046.320068359375kW,20.562836825847622kW,353.7394933700562kW,"","",92.45904541015625kW,101.03830758730568kW,85.59395599365234kW,"","",149.43110291163126kW,92.83413640658063kW,"",426.65621407826734kW,49.224145770072944kW,374.8435614903769kW,"",454.81098016103107kW,1700.5477294921875kW,25.60347817341486kW,175.39312680562333kW,293.7723738352458kW,37.85648204882939kW,35.10779549678166kW,249.61433156331375kW,293.90586153666175kW,418.0760164260866kW,103.47245788574219kW,42.763162295023605kW,136.48605346679688kW,79.44812417030332kW,437.64449755350734kW,106.25002177556355kW,94.07129669189453kW,550.3383458455405kW,334.37618923187256kW,306.9361422856649kW
2020-11-15T00:00:00Z Rel,"",599.603759765625kW,290.8347495396933kW,210.02490393320718kW,430.64459228515625kW,30.760480880737305kW,132.315079053243kW,2051.135009765625kW,19.942621707916256kW,341.6618715922037kW,"","",92.45904541015625kW,99.87178929646811kW,84.94756317138672kW,"","",147.36646525065112kW,89.60376763343814kW,"",427.63832823435473kW,48.90172719955443kW,354.9755945205688kW,"",421.7978102366131kW,1700.5477294921875kW,25.620186666647587kW,167.47087542215982kW,297.35192521413165kW,39.80417943000794kW,35.28161936998368kW,240.8352789878845kW,290.147658030192kW,417.1624886194865kW,94.70489501953125kW,48.6796255906423kW,136.48605346679688kW,77.50885971387225kW,393.38805802663165kW,107.82083320617676kW,94.16342163085938kW,544.5813045501708kW,329.7779493331908kW,312.0265895525614kW
2020-11-16T00:00:00Z Rel,"",746.3174438476562kW,293.77097039575943kW,212.12812560840908kW,574.8349609375kW,46.202883858945626kW,188.70019572505248kW,2213.07470703125kW,27.316462254347606kW,336.821236557784kW,"","",92.45904541015625kW,122.49838493735695kW,85.36105346679688kW,"","",171.09247815352893kW,106.66362074154384kW,"",429.8153182001464kW,52.061006554232684kW,391.54022931134267kW,"",517.8114642079674kW,1720.9371337890625kW,35.12242226340153kW,175.89122477019268kW,307.25482312838267kW,43.601671413889655kW,42.05520493116643kW,298.9250236341688kW,305.15030160515454kW,440.7511258125306kW,98.79440307617188kW,71.62898940616178kW,158.86886596679688kW,97.67929460167903kW,401.72447846271314kW,121.5886534267885kW,118.09547424316406kW,560.3164808545282kW,411.7275218737567kW,325.04056212743166kW
2020-11-17T00:00:00Z Rel,"",783.0198974609375kW,302.1287581925921kW,215.33794092072347kW,587.173583984375kW,52.14867425591855kW,179.63046005407958kW,2220.6328125kW,24.84253427417189kW,321.56312538146943kW,"","",77.46659088134766kW,120.822668525731kW,84.67267608642578kW,"","",171.23582804388465kW,114.36710632668593kW,"",452.5184511297711kW,50.79257245107939kW,357.2923750933881kW,"",536.4761210049518kW,1835.5670166015625kW,35.95101195801186kW,173.90090257167836kW,306.78967749560286kW,41.560580661981184kW,44.34228110057345kW,301.89476475238814kW,303.1008394446193kW,437.11138121287007kW,99.37007141113281kW,71.73915576170987kW,180.13897705078125kW,88.43392495508557kW,416.0492829040244kW,121.18242396999281kW,108.77664947509766kW,552.4222188928385kW,402.4917902508495kW,333.023087828601kW
2020-11-18T00:00:00Z Rel,"",782.4061889648438kW,331.0534162016269kW,216.40959647602492kW,544.835205078125kW,51.56894174999661kW,164.1006051118282kW,2239.47509765625kW,24.988461391727164kW,328.1163512155743kW,"","",78.4582290649414kW,120.82596303365854kW,85.13670349121094kW,"","",167.08697773765633kW,110.24496383110693kW,"",455.0318197879078kW,51.66180125302739kW,360.06443523795525kW,"",532.5677884818891kW,1892.228515625kW,35.70200775208295kW,173.53102418917194kW,292.56010680057415kW,43.11382957955203kW,34.63806312232105kW,299.16870102493874kW,302.72592196817726kW,450.62348206837964kW,108.37306213378906kW,72.29695378290282kW,201.19834899902344kW,88.61358909796787kW,414.5957922207867kW,123.83945829709361kW,108.32012939453125kW,548.7953761425717kW,400.27948676285916kW,334.2117278265073kW
2020-11-19T00:00:00Z Rel,"",825.4619750976562kW,350.35038015400926kW,209.25034035258844kW,551.9038696289062kW,47.880532545933015kW,168.81215819155742kW,2247.661865234375kW,27.358975933712944kW,336.1436902759696kW,"","",77.74683380126953kW,122.28016609933633kW,85.80986785888672kW,"","",170.87578509851744kW,109.22097767706262kW,"",438.06098727261605kW,51.625451966479986kW,364.6180134310542kW,"",525.3197135360149kW,1989.42724609375kW,36.42577561305625kW,167.48203804740203kW,315.91955539703383kW,42.68207806971342kW,33.0008002745443kW,296.3503715029467kW,302.36930166668344kW,460.7618986765542kW,109.51891326904297kW,72.77862311919536kW,164.72454833984375kW,86.15663433141174kW,401.19937263241485kW,124.71019527196893kW,110.14912414550781kW,538.3741040254523kW,400.5796242731593kW,322.51541697678715kW
2020-11-20T00:00:00Z Rel,"",771.3370361328125kW,324.1600735657305kW,215.35970471647042kW,530.0248413085938kW,53.74228414848998kW,161.74526770927278kW,2207.41552734375kW,24.865344366585724kW,327.8871193108741kW,"","",77.00908660888672kW,120.21891825534689kW,85.15470123291016kW,"","",165.98135927182676kW,110.10693036141198kW,"",415.36475306828845kW,53.159664127605936kW,361.5641745058697kW,"",513.888317498807kW,2057.55517578125kW,36.22867086357542kW,168.93154868903008kW,308.98164443228046kW,40.496019846333375kW,34.32148343880972kW,292.7985249155542kW,300.7195609807966kW,450.6189788182575kW,109.52861022949219kW,71.79216101502931kW,158.14247131347656kW,87.31334403347083kW,399.54325056358647kW,124.16339169073989kW,106.25634002685547kW,537.0113559602805kW,395.5225495394946kW,330.1329071018432kW
2020-11-21T00:00:00Z Rel,"",764.28076171875kW,321.1230332125551kW,170.9046810888361kW,457.26043701171875kW,44.25341113050779kW,115.04971621619337kW,1920.392822265625kW,20.878239258483614kW,329.27936862592355kW,"","",69.29151916503906kW,101.64928994390698kW,85.69020080566406kW,"","",142.43105771462123kW,104.34922907105187kW,"",416.9164422074074kW,45.32104741286345kW,337.0869171622945kW,"",462.9504856784252kW,1915.6995849609375kW,24.562836206246303kW,164.9660061040629kW,321.7661731087719kW,40.272222613162455kW,36.227363814248015kW,234.1687797601136kW,292.9704495804396kW,436.7572949727378kW,106.69966125488281kW,46.71471316494322kW,208.8463897705078kW,73.04464914021678kW,386.5219245218347kW,114.79392822592348kW,87.73983001708984kW,522.3326087577259kW,322.4016729962388kW,327.9168819536986kW
2020-11-22T00:00:00Z Rel,"",742.0607299804688kW,334.4934244576208kW,165.46258032851728kW,449.50164794921875kW,43.18989961970736kW,110.9226389406344kW,1815.6517333984375kW,20.948551551523007kW,285.2203582645342kW,"","",71.19680786132812kW,102.70498051519748kW,84.66316223144531kW,"","",141.74294507017856kW,100.76598027564864kW,"",434.9734474143273kW,45.22218140540303kW,361.2273420464549kW,"",439.8693654646689kW,1818.5511474609375kW,24.662428338306935kW,174.55775691032412kW,342.5956761042277kW,40.39476002386321kW,35.9299967114572kW,235.6755174532643kW,292.02500418027245kW,438.92170174916595kW,106.43013763427734kW,48.286765168750726kW,177.4072265625kW,77.35925922137717kW,394.6499474581966kW,112.39583966820334kW,96.6805419921875kW,539.2417249767876kW,339.14962558004595kW,304.84703841368366kW
2020-11-23T00:00:00Z Rel,"",787.019287109375kW,331.14879891784074kW,207.87019314977857kW,574.1564331054688kW,51.24238887544032kW,168.67829757875853kW,2271.76318359375kW,27.654452772118475kW,308.15067728625417kW,"","",77.65080261230469kW,125.60957450628264kW,85.26630401611328kW,"","",168.60305901933597kW,112.66125470028982kW,"",449.48339318452093kW,38.980046908060714kW,388.41077137417295kW,"",530.2233136364265kW,2053.2529296875kW,36.068774723410606kW,183.50549414246163kW,342.5993081728618kW,43.67925576492591kW,41.446605670562484kW,295.7765455302488kW,302.0121512211696kW,466.8830486933391kW,109.88459014892578kW,64.69551707157378kW,162.72039794921875kW,94.49486088333302kW,410.7847666019862kW,122.59606305228337kW,112.97774505615234kW,563.4512642475412kW,417.5227850165187kW,332.478144907775kW
2020-11-24T00:00:00Z Rel,"",762.165283203125kW,327.4421905694185kW,211.37353990943328kW,560.9970703125kW,54.263609193475155kW,167.78183839073893kW,2213.863037109375kW,25.277890789972393kW,319.81283493006646kW,"","",68.92019653320312kW,123.2842188315923kW,85.46788024902344kW,"","",171.88016578065026kW,113.93092438159171kW,"",456.8182239603113kW,39.36500027091415kW,368.75832433206074kW,"",533.8412105821676kW,2044.0711669921875kW,36.68813358419471kW,187.16240891474263kW,344.96417236857945kW,42.77701926657446kW,42.657323327550195kW,298.08094643804714kW,292.8573904682087kW,453.76128705342614kW,117.85604858398438kW,69.01592447110902kW,207.7919921875kW,99.589627716497kW,414.4422935616529kW,125.72195702005327kW,113.24353790283203kW,566.2495760642161kW,412.70914201065364kW,332.96339715198246kW
2020-11-25T00:00:00Z Rel,"",782.8851318359375kW,327.27160163067003kW,209.1372001524326kW,585.5367431640625kW,52.11091134961004kW,167.54402219701709kW,2227.0849609375kW,27.33714446131833kW,344.73264624525007kW,"","",79.6211929321289kW,124.92611894536904kW,85.6730728149414kW,"","",168.60924272493074kW,115.94489837090184kW,"",432.6218146928154kW,39.34945011138916kW,388.1165488119478kW,"",543.0044285947305kW,2053.607666015625kW,35.99274300895354kW,172.33138390355654kW,339.0503050486246kW,41.803082922123075kW,40.386614441253535kW,295.9130770785723kW,299.9522492165031kW,435.98162746429455kW,118.55498504638672kW,70.28169459722656kW,201.4090118408203kW,94.51428253023717kW,413.9613590568963kW,124.59823785437474kW,108.66487884521484kW,562.1457344743936kW,394.68174557368013kW,330.7665304713776kW
2020-11-26T00:00:00Z Rel,"",754.2493896484375kW,318.22502114013383kW,200.1508580765897kW,637.328857421875kW,50.8368217097609kW,173.45403623015804kW,2228.121826171875kW,27.332081846594793kW,337.6451305325827kW,"","",70.16304779052734kW,123.50657273592769kW,85.28730773925781kW,"","",167.30872414032586kW,118.62871011963593kW,"",440.57133869877566kW,38.471359292666115kW,384.35147100625215kW,"",538.711740048726kW,1938.234375kW,36.89411546974272kW,179.54573654925383kW,340.36202796300256kW,43.13520701077245kW,42.10540331613131kW,299.0603573816791kW,299.8954359524338kW,445.6012496948242kW,109.87445068359375kW,73.18176456570632kW,179.60400390625kW,96.799577914079kW,413.26335934921605kW,128.2359354669076kW,110.25736999511719kW,569.6370723780876kW,398.71122374216685kW,321.4500700132935kW
2020-11-27T00:00:00Z Rel,"",771.370849609375kW,250.14280883647783kW,194.9484133402504kW,580.7000122070312kW,51.34542095610388kW,168.5200003761714kW,2249.93017578125kW,25.213056532762682kW,330.2184058387194kW,"","",80.46550750732422kW,122.24064762256762kW,85.0591049194336kW,"","",161.97302456078697kW,114.0371768130196kW,"",460.41807872313035kW,38.99288121859233kW,351.39896302753044kW,"",520.4607085439895kW,1892.31005859375kW,36.03378663685587kW,170.67537342671977kW,339.20086924235034kW,40.8507971047693kW,44.7495735228062kW,293.73475626698234kW,297.05535418510436kW,432.5992463429768kW,114.54812622070312kW,71.52546996542706kW,157.27163696289062kW,89.8034993856924kW,412.62077864152405kW,121.4599737006646kW,106.1446762084961kW,540.1465080278887kW,398.5471307330669kW,338.63517725008506kW
2020-11-28T00:00:00Z Rel,"",751.3783569335938kW,325.71948060830465kW,156.24308017889643kW,476.24188232421875kW,43.21558664332936kW,125.25747357686369kW,1876.2576904296875kW,20.122051349856246kW,318.9455136262044kW,"","",71.41619873046875kW,101.11171840861988kW,85.23796844482422kW,"","",151.2820386662306kW,103.11079722060111kW,"",462.0078690677224kW,37.645587404568985kW,339.99429917582756kW,"",463.7865715927551kW,1771.35302734375kW,23.91631035846692kW,161.34257599539248kW,336.75609842936177kW,38.03985191817636kW,41.11004411158737kW,238.00932474206994kW,289.3340710949017kW,418.0769338607788kW,106.36071014404297kW,46.96818050146098kW,180.20816040039062kW,72.04848058153077kW,402.74839647681614kW,107.08572829387805kW,93.92916870117188kW,515.2371043187602kW,318.8414278779206kW,340.85266074004005kW
2020-11-29T00:00:00Z Rel,"",708.6709594726562kW,321.3017742782172kW,154.25100734251507kW,501.79205322265625kW,44.80860173315912kW,120.58007855097449kW,1895.85400390625kW,20.33225000182785kW,330.91783182674kW,"","",71.96339416503906kW,102.47968086640046kW,85.15278625488281kW,"","",150.7031106683058kW,102.56824736241956kW,"",465.5610365404905kW,38.19085848331451kW,365.8579572783579kW,"",442.3680336182202kW,1829.864990234375kW,24.10783245958661kW,178.5517030745967kW,328.80568726857496kW,40.371911383160786kW,38.157239751043114kW,237.43191351131168kW,288.81564716639343kW,413.1587301890055kW,106.04426574707031kW,48.321200167978226kW,172.22525024414062kW,76.69437298156583kW,411.97125061070403kW,109.88660357572402kW,96.87644958496094kW,540.337968390076kW,331.07382242520623kW,319.05140706662763kW
2020-11-30T00:00:00Z Rel,"",754.40087890625kW,341.55966701472244kW,196.50431373543228kW,602.2269287109375kW,53.22527132277134kW,166.63174735572582kW,2283.208251953125kW,26.680959007276424kW,309.9946152190813kW,"","",78.59918975830078kW,124.68496983272057kW,83.21455383300781kW,"","",174.508268877047kW,109.68425765019879kW,"",474.3249174531301kW,38.191076914469406kW,372.70846267876806kW,"",524.861914218973kW,1912.656005859375kW,36.70250003768333kW,174.10945337136602kW,341.26104021072393kW,45.39449265661065kW,45.5499259573663kW,291.8268708605236kW,297.56984559200447kW,450.87921714782715kW,113.14061737060547kW,71.22884467045454kW,187.51580810546875kW,87.2354420718883kW,435.88600462171723kW,118.43155279521571kW,107.04946899414062kW,558.0232186631807kW,411.404637690297kW,345.7108534514464kW
2020-12-01T00:00:00Z Rel,"",733.5238647460938kW,334.72592035187654kW,187.02719699930233kW,616.290771484375kW,51.56135778265973kW,169.3327189075507kW,2258.0302734375kW,29.493096374825207kW,355.000441098743kW,"","",69.34952545166016kW,126.52002061570126kW,85.6448974609375kW,"","",172.7469774857277kW,111.12676601083189kW,"",467.8758946492934kW,38.38327566782633kW,398.86987652107473kW,"",526.5232357947029kW,1981.0093994140625kW,38.35090037813893kW,171.56825007279707kW,342.41603374481207kW,43.54041762694167kW,42.127169363741515kW,289.47491429099324kW,300.6979457148801kW,472.736570040385kW,112.52507019042969kW,69.7619372904743kW,173.41246032714844kW,91.16295532367839kW,434.26495382732827kW,121.05149916728335kW,107.37142181396484kW,547.5901031169186kW,402.203423522313kW,310.5991667049904kW
2020-12-02T00:00:00Z Rel,"",735.3290405273438kW,346.48532164573663kW,190.47140156233755kW,595.3416748046875kW,54.178484512986984kW,172.2642668374381kW,2298.519287109375kW,29.12444219192976kW,355.12288927095904kW,"","",68.09770202636719kW,123.65115017069708kW,85.37674713134766kW,"","",171.63101003726302kW,112.53217095551672kW,"",441.9911496600401kW,37.89129157861073kW,395.54583044652617kW,"",526.1928169412969kW,1797.5692138671875kW,35.782426300821506kW,167.15675471402974kW,344.4188443819682kW,42.32772245142193kW,44.00379145273455kW,291.96353176311203kW,298.42234120157013kW,484.9326947530111kW,116.97476196289062kW,71.29497613251215kW,160.2293243408203kW,89.27089336624863kW,423.6003262558689kW,119.70567256097436kW,107.11359405517578kW,535.0888556925457kW,398.13550043000106kW,321.3321800373219kW
2020-12-03T00:00:00Z Rel,"",788.9450073242188kW,338.7368224677334kW,196.72568138899632kW,608.9215087890625kW,55.588334059693175kW,171.47308826013847kW,2247.211669921875kW,27.646090674499675kW,355.7380658464085kW,"","",80.999267578125kW,123.81675817083435kW,85.31195068359375kW,"","",168.25758080844534kW,109.49377177565171kW,"",425.1992336803012kW,38.2781191666921kW,384.2706352834352kW,"",522.2295922131002kW,1806.0634765625kW,37.5913296469273kW,167.74871416003595kW,343.1117192904155kW,39.90249198979801kW,34.65119123048253kW,296.80147583608294kW,297.78361799663946kW,475.86669254302956kW,113.87728118896484kW,71.52963802231683kW,150.66036987304688kW,88.90957609609318kW,424.1551317137271kW,121.65263157871021kW,107.1004867553711kW,531.801265667809kW,395.39513270907923kW,314.65373872527357kW
2020-12-04T00:00:00Z Rel,"",774.4570922851562kW,324.4566266126986kW,208.03836045724353kW,581.192626953125kW,53.682466885292946kW,166.8075297336227kW,2196.017578125kW,27.704865352743195kW,344.48967301827855kW,"","",72.53787231445312kW,120.57895679261948kW,85.15792846679688kW,"","",167.97263512584914kW,110.61197351499838kW,"",457.2240859519111kW,37.40800849596659kW,367.5726200541744kW,"",513.7324110126494kW,1785.3826904296875kW,34.893594741379786kW,152.75243064076824kW,344.92764345804846kW,39.66055415661248kW,34.54482363433751kW,293.2360114413716kW,293.2901657639608kW,472.01278877258295kW,109.35960388183594kW,72.71056463541811kW,143.096923828125kW,84.53255934997851kW,434.3600958633421kW,114.18330425708383kW,108.84227752685547kW,508.41122718563764kW,385.2879101138645kW,316.99475285406453kW
2020-12-05T00:00:00Z Rel,"",783.9027099609375kW,331.9473277738365kW,162.85163046819193kW,501.3744201660156kW,48.282654796154446kW,115.57467202054123kW,1940.325927734375kW,20.208270448490413kW,348.52864337214686kW,"","",71.98290252685547kW,101.21425615831657kW,84.97346496582031kW,"","",142.26038952668506kW,99.8655909510895kW,"",447.15630136701816kW,37.74686853090922kW,347.33551590531kW,"",459.48525013817664kW,1659.960693359375kW,23.852656201300803kW,150.08824202034188kW,346.2634650866191kW,36.45798295804747kW,31.02354754337557kW,238.71783773863754kW,287.99090748981223kW,456.02550983428944kW,104.4604721069336kW,46.626203733837144kW,116.06929016113281kW,71.35145012078463kW,417.6178950673568kW,93.40788398181941kW,89.39120483398438kW,497.45672024479586kW,311.68643245308516kW,327.3645833358058kW
2020-12-06T00:00:00Z Rel,"",781.281982421875kW,294.78858704337364kW,166.61795853897354kW,494.536376953125kW,48.32441531942955kW,110.1719080440203kW,1903.360107421875kW,19.88823593488445kW,319.1325040675973kW,"","",72.72708129882812kW,101.87446715231299kW,85.10035705566406kW,"","",140.3181901990042kW,98.34357420497463kW,"",457.0085336257797kW,37.82024772961934kW,323.77918508564983kW,"",435.44739219665524kW,1622.803955078125kW,23.951285003401587kW,168.41315639230928kW,345.2556200027465kW,39.51824871189065kW,35.94265403849104kW,243.9498089195178kW,288.2700239033168kW,452.5876191457112kW,105.55107116699219kW,48.28508012932763kW,96.03913116455078kW,70.680503559245kW,417.69693169417167kW,98.19504686170163kW,91.74336242675781kW,510.49192759690493kW,311.98601477057895kW,319.4265543658645kW
2020-12-07T00:00:00Z Rel,"",797.5156860351562kW,310.42111575797765kW,215.49804289411588kW,591.2677001953125kW,54.23979567031066kW,159.59047675150424kW,2278.451171875kW,22.246324067104783kW,315.7636391124016kW,"","",79.25237274169922kW,122.67145237958003kW,82.82428741455078kW,"","",166.3202827423587kW,107.97659464633023kW,"",473.83524521792384kW,37.68343853950501kW,358.83341891818577kW,"",518.6109666531177kW,1800.6021728515625kW,34.882074306607265kW,164.95480218066115kW,345.218033472697kW,44.51100202480957kW,40.55471231628343kW,303.49409916983745kW,298.2848167735563kW,482.6578245162962kW,111.59004211425781kW,75.51128395449244kW,156.02471923828125kW,87.32621785512674kW,430.4013074941988kW,117.24363330629117kW,108.7259292602539kW,527.473545534699kW,398.56106704747265kW,340.8874965914973kW
2020-12-08T00:00:00Z Rel,"",833.0200805664062kW,310.5981824274417kW,217.4017218946527kW,601.7510375976562kW,55.91324533166711kW,165.2631770253182kW,2327.11474609375kW,22.385027604125145kW,308.1694759616147kW,"","",78.34026336669922kW,124.38861962035833kW,84.92871856689453kW,"","",173.90072993640567kW,112.99188203670363kW,"",485.8666320228576kW,37.70830933252971kW,352.6159243809732kW,"",523.3434217615483kW,1804.275146484375kW,36.482744196167715kW,156.85280369546672kW,346.08403460184735kW,42.79798197450458kW,40.81267529335289kW,297.0219486337237kW,299.5486572629434kW,483.55229250590025kW,112.88182830810547kW,76.47815283360303kW,169.91525268554688kW,82.82015962057643kW,414.82774679899217kW,117.28541893367414kW,109.51709747314453kW,523.3119370764268kW,403.3288310958717kW,333.0599224417302kW
2020-12-09T00:00:00Z Rel,"",821.69970703125kW,316.8078169981638kW,215.3121262356088kW,600.0335693359375kW,51.650080444591985kW,160.30282875334763kW,2310.009033203125kW,22.324156067647298kW,330.89886774169054kW,"","",78.81554412841797kW,124.43521926173464kW,85.23127746582031kW,"","",171.94142114674605kW,109.72407622363836kW,"",482.9162733682kW,38.4024550362428kW,359.22679427535394kW,"",516.6672717871494kW,2051.04345703125kW,35.609066640337325kW,158.90067078581552kW,344.4636534086863kW,41.44823947985968kW,42.17833067865276kW,295.18680905306803kW,280.9991317067324kW,487.75782108306856kW,111.66493225097656kW,70.09725395902451kW,177.94061279296875kW,82.94630187321589kW,409.9217035682113kW,119.01949962209788kW,106.93475341796875kW,517.4110624659501kW,402.99672902001333kW,322.3507945555223kW
2020-12-10T00:00:00Z Rel,"",754.5618286132812kW,333.4545774244379kW,203.9505419360269kW,587.2139282226562kW,54.30032056854836kW,156.64590130638177kW,2221.0634765625kW,27.75694476084574kW,360.4715099878665kW,"","",77.71623229980469kW,123.35941192591638kW,84.8861312866211kW,"","",169.98330182216793kW,107.814425920557kW,"",486.09429603082185kW,37.63543597857158kW,379.5746845718662kW,"",527.0901802741156kW,2036.8974609375kW,31.753585773772677kW,171.1440739133625kW,345.8954765001933kW,41.104750641319555kW,42.10176833722326kW,297.11297408174585kW,270.0356329592952kW,490.69637521108kW,113.21253967285156kW,73.24115635509847kW,167.59881591796875kW,91.27011935521048kW,417.42604826927203kW,121.00854861118172kW,109.5593490600586kW,524.6139535303467kW,405.8033066781365kW,307.5815216193376kW
2020-12-11T00:00:00Z Rel,"",709.23046875kW,324.11643022890445kW,201.74092644497205kW,533.868408203125kW,39.728345913335126kW,146.22595883890432kW,2182.881103515625kW,28.827896079045754kW,362.62216472007617kW,"","",74.84268188476562kW,119.20482130465683kW,85.41323852539062kW,"","",170.46300958765883kW,104.61727146131024kW,"",471.6084555788393kW,53.820301453272485kW,390.6190294135058kW,"",513.4238924436218kW,1929.01220703125kW,31.375408016730248kW,171.39742725672548kW,265.9981948534647kW,40.11733139258844kW,40.825192890410065kW,291.83078689310275kW,271.150079265877kW,494.94811503092455kW,114.00587463378906kW,66.05268185703845kW,154.71371459960938kW,92.21996095229075kW,419.7986132939657kW,111.95466776556438kW,109.33714294433594kW,527.9478481621211kW,408.8443425591785kW,294.1030747417166kW
